DB010	DB020	DB030	DB040	DB040_F	DB090	DB090_F	DB100	DB100_F
2023	ES	1000	ES51	1	150146840	1	2	1
2023	ES	1001	ES51	1	195034212	1	2	1
2023	ES	1002	ES51	1	121115836	1	2	1
2023	ES	1003	ES51	1	250852262	1	2	1
2023	ES	1004	ES51	1	165000202	1	2	1
2023	ES	1005	ES51	1	213990095	1	2	1
2023	ES	1006	ES51	1	177318641	1	2	1
2023	ES	1008	ES51	1	242564498	1	2	1
2023	ES	1010	ES51	1	123813226	1	2	1
2023	ES	1011	ES51	1	152635029	1	2	1
2023	ES	1012	ES51	1	180447432	1	1	1
2023	ES	1013	ES51	1	270192633	1	1	1
2023	ES	1014	ES51	1	70719811	1	1	1
2023	ES	1016	ES51	1	93634104	1	1	1
2023	ES	1017	ES51	1	193324810	1	2	1
2023	ES	1018	ES51	1	97558342	1	2	1
2023	ES	1019	ES51	1	238228288	1	2	1
2023	ES	1020	ES51	1	121115836	1	2	1
2023	ES	1021	ES51	1	238228288	1	2	1
2023	ES	1022	ES51	1	120385164	1	2	1
2023	ES	1023	ES51	1	439678334	1	2	1
2023	ES	1024	ES51	1	238828913	1	2	1
2023	ES	1025	ES51	1	229113014	1	2	1
2023	ES	1027	ES51	1	194178397	1	2	1
2023	ES	1028	ES51	1	287021679	1	2	1
2023	ES	1030	ES51	1	408070952	1	2	1
2023	ES	1031	ES51	1	74997767	1	2	1
2023	ES	1032	ES51	1	156574043	1	2	1
2023	ES	1033	ES51	1	310786666	1	2	1
2023	ES	1035	ES51	1	230393781	1	2	1
2023	ES	1036	ES51	1	280137839	1	2	1
2023	ES	1037	ES51	1	94326766	1	2	1
2023	ES	1038	ES51	1	127642449	1	2	1
2023	ES	1039	ES51	1	166310841	1	2	1
2023	ES	1040	ES51	1	92361104	1	2	1
2023	ES	1041	ES51	1	186478783	1	2	1
2023	ES	1042	ES51	1	173848498	1	2	1
2023	ES	1044	ES51	1	289601722	1	2	1
2023	ES	1045	ES51	1	136696348	1	2	1
2023	ES	1046	ES51	1	119956886	1	2	1
2023	ES	1047	ES51	1	212435370	1	2	1
2023	ES	1049	ES51	1	247108334	1	3	1
2023	ES	1050	ES51	1	131333122	1	3	1
2023	ES	1051	ES51	1	131769462	1	3	1
2023	ES	1052	ES51	1	121103872	1	3	1
2023	ES	1053	ES51	1	83447266	1	3	1
2023	ES	1054	ES51	1	87722452	1	3	1
2023	ES	1055	ES51	1	126300113	1	3	1
2023	ES	1056	ES51	1	69638372	1	2	1
2023	ES	1058	ES51	1	327938054	1	2	1
2023	ES	1060	ES51	1	208328069	1	2	1
2023	ES	1061	ES51	1	129324665	1	2	1
2023	ES	1062	ES51	1	210570424	1	3	1
2023	ES	1063	ES51	1	122235898	1	3	1
2023	ES	1064	ES51	1	151078597	1	3	1
2023	ES	1065	ES51	1	86303059	1	2	1
2023	ES	1066	ES51	1	152819320	1	2	1
2023	ES	1068	ES51	1	374205326	1	2	1
2023	ES	1069	ES51	1	314117049	1	2	1
2023	ES	1072	ES51	1	249600959	1	2	1
2023	ES	1073	ES51	1	333068091	1	3	1
2023	ES	1074	ES51	1	203079832	1	3	1
2023	ES	1075	ES51	1	170238140	1	3	1
2023	ES	1076	ES51	1	337196374	1	3	1
2023	ES	1077	ES51	1	102509806	1	3	1
2023	ES	1078	ES51	1	170388739	1	3	1
2023	ES	1086	ES51	1	68240596	1	1	1
2023	ES	1670	ES51	1	205209214	1	2	1
2023	ES	1671	ES51	1	75081342	1	2	1
2023	ES	1672	ES51	1	373857586	1	2	1
2023	ES	1673	ES51	1	299749147	1	1	1
2023	ES	1675	ES51	1	275434312	1	2	1
2023	ES	1676	ES51	1	143602034	1	2	1
2023	ES	1677	ES51	1	289716034	1	2	1
2023	ES	1679	ES51	1	222320571	1	1	1
2023	ES	1680	ES51	1	302428363	1	1	1
2023	ES	1681	ES51	1	155296008	1	3	1
2023	ES	1682	ES51	1	146872955	1	3	1
2023	ES	1960	ES51	1	483552379	1	2	1
2023	ES	1961	ES51	1	109800718	1	2	1
2023	ES	1962	ES51	1	156574043	1	2	1
2023	ES	1963	ES51	1	979584530	1	2	1
2023	ES	1964	ES51	1	111784108	1	3	1
2023	ES	1965	ES51	1	191115564	1	3	1
2023	ES	1966	ES51	1	160068973	1	3	1
2023	ES	1967	ES51	1	141201002	1	1	1
2023	ES	1968	ES51	1	177160870	1	1	1
2023	ES	1969	ES51	1	395625526	1	1	1
2023	ES	1970	ES51	1	256132136	1	1	1
2023	ES	1971	ES51	1	241158715	1	1	1
2023	ES	1972	ES51	1	84409367	1	1	1
2023	ES	1973	ES51	1	229943718	1	3	1
2023	ES	1974	ES51	1	366003733	1	1	1
2023	ES	1975	ES51	1	321040027	1	2	1
2023	ES	1976	ES51	1	397884022	1	2	1
2023	ES	1977	ES51	1	213694880	1	2	1
2023	ES	2430	ES51	1	243612485	1	1	1
2023	ES	3224	ES51	1	82289441	1	3	1
2023	ES	3629	ES51	1	332009089	1	1	1
2023	ES	3630	ES51	1	282042761	1	1	1
2023	ES	3631	ES51	1	117708153	1	3	1
2023	ES	3632	ES51	1	151078597	1	3	1
2023	ES	3633	ES51	1	359807594	1	3	1
2023	ES	3634	ES51	1	179074655	1	3	1
2023	ES	3635	ES51	1	183416507	1	3	1
2023	ES	3636	ES51	1	258325136	1	3	1
2023	ES	3637	ES51	1	213087974	1	1	1
2023	ES	3638	ES51	1	234329622	1	1	1
2023	ES	3639	ES51	1	96254621	1	1	1
2023	ES	3641	ES51	1	185416187	1	1	1
2023	ES	3642	ES51	1	186095377	1	1	1
2023	ES	3643	ES51	1	957318203	1	1	1
2023	ES	3646	ES51	1	75407287	1	2	1
2023	ES	3649	ES51	1	339872136	1	2	1
2023	ES	4993	ES51	1	71044206	1	3	1
2023	ES	5071	ES51	1	33308747	1	2	1
2023	ES	5072	ES51	1	36295620	1	2	1
2023	ES	5073	ES51	1	47989305	1	2	1
2023	ES	5076	ES51	1	40300901	1	2	1
2023	ES	5077	ES51	1	24565501	1	2	1
2023	ES	5079	ES51	1	16303545	1	1	1
2023	ES	5080	ES51	1	28113685	1	1	1
2023	ES	5081	ES51	1	22272257	1	1	1
2023	ES	5083	ES51	1	34383037	1	1	1
2023	ES	5084	ES51	1	22152368	1	1	1
2023	ES	5086	ES51	1	18848511	1	2	1
2023	ES	5088	ES51	1	46479635	1	1	1
2023	ES	5089	ES51	1	34258595	1	1	1
2023	ES	5090	ES51	1	17313225	1	1	1
2023	ES	5091	ES51	1	37986057	1	1	1
2023	ES	5093	ES51	1	42356578	1	1	1
2023	ES	5096	ES51	1	49312838	1	1	1
2023	ES	5097	ES51	1	38696155	1	1	1
2023	ES	5098	ES51	1	33298857	1	1	1
2023	ES	5099	ES51	1	44574704	1	1	1
2023	ES	5100	ES51	1	39496860	1	1	1
2023	ES	5101	ES51	1	39122033	1	1	1
2023	ES	5102	ES51	1	19431253	1	1	1
2023	ES	5103	ES51	1	70506702	1	1	1
2023	ES	5105	ES51	1	42565969	1	1	1
2023	ES	5107	ES51	1	36175201	1	1	1
2023	ES	5108	ES51	1	24321268	1	1	1
2023	ES	5110	ES51	1	35810536	1	1	1
2023	ES	5113	ES51	1	43213506	1	1	1
2023	ES	5114	ES51	1	23441244	1	1	1
2023	ES	5115	ES51	1	33909963	1	1	1
2023	ES	5116	ES51	1	33189290	1	1	1
2023	ES	5117	ES51	1	35629499	1	1	1
2023	ES	5118	ES51	1	30125538	1	1	1
2023	ES	5119	ES51	1	30488482	1	1	1
2023	ES	5120	ES51	1	19937980	1	1	1
2023	ES	5121	ES51	1	33555709	1	1	1
2023	ES	5123	ES51	1	29292225	1	1	1
2023	ES	5124	ES51	1	38696155	1	1	1
2023	ES	5126	ES51	1	71430204	1	1	1
2023	ES	5127	ES51	1	39236001	1	1	1
2023	ES	5128	ES51	1	35435890	1	1	1
2023	ES	5129	ES51	1	35367576	1	1	1
2023	ES	5130	ES51	1	80384321	1	1	1
2023	ES	5131	ES51	1	28487993	1	1	1
2023	ES	5133	ES51	1	62762825	1	1	1
2023	ES	5134	ES51	1	49312838	1	1	1
2023	ES	5135	ES51	1	57961133	1	1	1
2023	ES	5136	ES51	1	76285238	1	1	1
2023	ES	5137	ES51	1	36527575	1	1	1
2023	ES	5138	ES51	1	24049428	1	1	1
2023	ES	5139	ES51	1	44998152	1	1	1
2023	ES	5140	ES51	1	28340726	1	1	1
2023	ES	5141	ES51	1	49312838	1	1	1
2023	ES	5142	ES51	1	33298857	1	1	1
2023	ES	5143	ES51	1	41230565	1	1	1
2023	ES	5144	ES51	1	27269495	1	1	1
2023	ES	5145	ES51	1	50498002	1	1	1
2023	ES	5146	ES51	1	48016447	1	1	1
2023	ES	5147	ES51	1	43347565	1	1	1
2023	ES	5148	ES51	1	48764251	1	1	1
2023	ES	5150	ES51	1	44574704	1	1	1
2023	ES	5151	ES51	1	36858406	1	1	1
2023	ES	5153	ES51	1	44884348	1	1	1
2023	ES	5154	ES51	1	90616234	1	1	1
2023	ES	5155	ES51	1	130386049	1	1	1
2023	ES	5157	ES51	1	26579587	1	1	1
2023	ES	5159	ES51	1	55199295	1	1	1
2023	ES	5160	ES51	1	41415563	1	1	1
2023	ES	5162	ES51	1	26927407	1	1	1
2023	ES	5163	ES51	1	40876603	1	1	1
2023	ES	5164	ES51	1	36129341	1	1	1
2023	ES	5165	ES51	1	30488248	1	1	1
2023	ES	5166	ES51	1	26000313	1	1	1
2023	ES	5168	ES51	1	37987422	1	1	1
2023	ES	5169	ES51	1	17279775	1	1	1
2023	ES	5170	ES51	1	39258815	1	1	1
2023	ES	5172	ES51	1	52305741	1	1	1
2023	ES	5173	ES51	1	54055516	1	1	1
2023	ES	5175	ES51	1	38696155	1	1	1
2023	ES	5176	ES51	1	32497304	1	1	1
2023	ES	5178	ES51	1	31530490	1	1	1
2023	ES	5179	ES51	1	37058795	1	1	1
2023	ES	5180	ES51	1	49312838	1	1	1
2023	ES	5181	ES51	1	26097834	1	1	1
2023	ES	5182	ES51	1	49312838	1	1	1
2023	ES	5183	ES51	1	39983017	1	1	1
2023	ES	5184	ES51	1	33265582	1	1	1
2023	ES	5185	ES51	1	49312838	1	1	1
2023	ES	5186	ES51	1	27459051	1	1	1
2023	ES	5188	ES51	1	22588266	1	2	1
2023	ES	5190	ES51	1	34517278	1	2	1
2023	ES	5192	ES51	1	45840974	1	2	1
2023	ES	5193	ES51	1	29628129	1	2	1
2023	ES	5194	ES51	1	33352186	1	2	1
2023	ES	5195	ES51	1	33762710	1	2	1
2023	ES	5197	ES51	1	25536011	1	1	1
2023	ES	5198	ES51	1	46828064	1	1	1
2023	ES	5200	ES51	1	46828064	1	1	1
2023	ES	5201	ES51	1	62518011	1	1	1
2023	ES	5202	ES51	1	26912695	1	1	1
2023	ES	5203	ES51	1	20425080	1	1	1
2023	ES	5204	ES51	1	37150753	1	1	1
2023	ES	5205	ES51	1	40015449	1	1	1
2023	ES	5206	ES51	1	58504986	1	1	1
2023	ES	5207	ES51	1	33519729	1	1	1
2023	ES	5208	ES51	1	41441839	1	1	1
2023	ES	5209	ES51	1	38949671	1	1	1
2023	ES	5210	ES51	1	33162528	1	1	1
2023	ES	5212	ES51	1	33662378	1	1	1
2023	ES	5213	ES51	1	37918290	1	1	1
2023	ES	5214	ES51	1	34642134	1	2	1
2023	ES	5215	ES51	1	50296521	1	2	1
2023	ES	5217	ES51	1	19743877	1	2	1
2023	ES	5218	ES51	1	24334966	1	2	1
2023	ES	5219	ES51	1	26956938	1	2	1
2023	ES	5220	ES51	1	30303324	1	2	1
2023	ES	5221	ES51	1	33787148	1	2	1
2023	ES	5222	ES51	1	30440704	1	1	1
2023	ES	5225	ES51	1	43213506	1	1	1
2023	ES	5226	ES51	1	36293017	1	1	1
2023	ES	5227	ES51	1	39544887	1	2	1
2023	ES	5229	ES51	1	40751940	1	2	1
2023	ES	5230	ES51	1	34594671	1	1	1
2023	ES	5231	ES51	1	22701756	1	1	1
2023	ES	5232	ES51	1	27630594	1	1	1
2023	ES	5233	ES51	1	31717501	1	1	1
2023	ES	5234	ES51	1	19571405	1	1	1
2023	ES	5235	ES51	1	39037644	1	1	1
2023	ES	5236	ES51	1	21794242	1	1	1
2023	ES	5237	ES51	1	31190146	1	1	1
2023	ES	5239	ES51	1	40563435	1	1	1
2023	ES	5240	ES51	1	20393534	1	1	1
2023	ES	5241	ES51	1	24318803	1	1	1
2023	ES	5243	ES51	1	35110827	1	1	1
2023	ES	5244	ES51	1	25192973	1	1	1
2023	ES	5245	ES51	1	45712610	1	1	1
2023	ES	5246	ES51	1	35110827	1	1	1
2023	ES	5247	ES51	1	103336338	1	1	1
2023	ES	5248	ES51	1	42317432	1	1	1
2023	ES	5249	ES51	1	44717364	1	1	1
2023	ES	5252	ES51	1	28013030	1	2	1
2023	ES	5253	ES51	1	54526391	1	2	1
2023	ES	5254	ES51	1	22478586	1	2	1
2023	ES	5256	ES51	1	34466537	1	2	1
2023	ES	5257	ES51	1	42161530	1	1	1
2023	ES	5258	ES51	1	20132262	1	1	1
2023	ES	5259	ES51	1	41447236	1	1	1
2023	ES	5261	ES51	1	45368250	1	1	1
2023	ES	5262	ES51	1	91231073	1	1	1
2023	ES	5263	ES51	1	33189290	1	1	1
2023	ES	5264	ES51	1	26139708	1	1	1
2023	ES	5265	ES51	1	43213506	1	1	1
2023	ES	5266	ES51	1	43213506	1	1	1
2023	ES	5268	ES51	1	27262453	1	1	1
2023	ES	5270	ES51	1	20445588	1	1	1
2023	ES	5271	ES51	1	32605477	1	1	1
2023	ES	5273	ES51	1	34016357	1	2	1
2023	ES	5274	ES51	1	36073529	1	2	1
2023	ES	5275	ES51	1	36083341	1	2	1
2023	ES	5276	ES51	1	42464577	1	2	1
2023	ES	5279	ES51	1	37258979	1	1	1
2023	ES	5280	ES51	1	36490461	1	1	1
2023	ES	5281	ES51	1	55841316	1	1	1
2023	ES	5282	ES51	1	69625795	1	1	1
2023	ES	5283	ES51	1	37641319	1	2	1
2023	ES	5285	ES51	1	35012008	1	2	1
2023	ES	5286	ES51	1	42712188	1	2	1
2023	ES	5287	ES51	1	49612667	1	2	1
2023	ES	5288	ES51	1	37441709	1	2	1
2023	ES	5289	ES51	1	38759490	1	2	1
2023	ES	5290	ES51	1	30589630	1	2	1
2023	ES	5293	ES51	1	15677929	1	2	1
2023	ES	5294	ES51	1	33722826	1	1	1
2023	ES	5295	ES51	1	43108620	1	1	1
2023	ES	5296	ES51	1	39907219	1	1	1
2023	ES	5297	ES51	1	25160127	1	1	1
2023	ES	5298	ES51	1	39061415	1	1	1
2023	ES	5299	ES51	1	32141386	1	1	1
2023	ES	5300	ES51	1	29797900	1	2	1
2023	ES	5302	ES51	1	34204100	1	2	1
2023	ES	5303	ES51	1	23937428	1	2	1
2023	ES	5304	ES51	1	74176716	1	2	1
2023	ES	5305	ES51	1	43745138	1	2	1
2023	ES	5306	ES51	1	33673372	1	1	1
2023	ES	5307	ES51	1	24003545	1	1	1
2023	ES	5308	ES51	1	27486641	1	1	1
