RB010	RB020	RB030	RB050	RB050_F	RB080	RB080_F	RB081	RB081_F	RB082	RB082_F	RB090	RB090_F	RB200	RB200_F	RB211	RB211_F	RB220	RB220_F	RB230	RB230_F	RB240	RB240_F	RB280	RB280_F	RB290	RB290_F	RL010	RL010_F	RL020	RL020_F	RL030	RL030_F	RL040	RL040_F	RL050	RL050_F	RL060	RL060_F	RL070	RL070_F	VRLOWJOB	VREU2020	VRMATSOCDEP	VRLOWJOB_N	VREU2030_N	AROPE	AROPE_N
2023	ES	1981101	69434273	1	1965	1	57	1	58	1	2	1	1	1	1	1	NA	96	NA	96	NA	96	1	1	1	1	NA	96	NA	96	NA	96	NA	96	NA	96	NA	96	NA	96	0	0	0	0	0	0	0
2023	ES	1981102	69434273	1	1997	1	25	1	26	1	1	1	1	1	5	1	NA	96	1981101	1	NA	96	1	1	1	1	NA	96	NA	96	NA	96	NA	96	NA	96	NA	96	NA	96	0	0	0	0	0	0	0
2023	ES	1981201	33242376	1	1968	1	54	1	54	1	2	1	1	1	1	1	NA	96	NA	96	1981202	1	2	1	1	1	NA	96	NA	96	NA	96	NA	96	NA	96	NA	96	NA	96	0	0	0	0	0	0	0
2023	ES	1981202	33242376	1	1959	1	63	1	63	1	1	1	1	1	1	1	NA	96	NA	96	1981201	1	1	1	1	1	NA	96	NA	96	NA	96	NA	96	NA	96	NA	96	NA	96	9	0	0	0	0	0	0
2023	ES	1981203	33242376	1	2010	1	12	1	12	1	1	1	1	1	5	1	1981202	1	1981201	1	NA	96	1	1	1	1	NA	96	40	1	0	1	6	1	0	1	0	1	33790344	1	0	0	0	0	0	0	0
2023	ES	1981401	42400084	1	1966	1	56	1	56	1	1	1	1	1	1	1	NA	96	NA	96	1981402	1	1	1	1	1	NA	96	NA	96	NA	96	NA	96	NA	96	NA	96	NA	96	0	0	0	0	0	0	0
2023	ES	1981402	42400084	1	1967	1	55	1	55	1	2	1	1	1	1	1	NA	96	NA	96	1981401	1	1	1	1	1	NA	96	NA	96	NA	96	NA	96	NA	96	NA	96	NA	96	0	0	0	0	0	0	0
2023	ES	1981501	150293658	1	1995	1	27	1	27	1	1	1	1	1	1	1	NA	96	NA	96	NA	96	3	1	2	1	NA	96	NA	96	NA	96	NA	96	NA	96	NA	96	NA	96	0	0	0	0	0	0	0
2023	ES	1981502	150293658	1	1995	1	27	1	28	1	1	1	1	1	1	1	NA	96	NA	96	NA	96	3	1	2	1	NA	96	NA	96	NA	96	NA	96	NA	96	NA	96	NA	96	0	0	0	0	0	0	0
2023	ES	1981601	40818648	1	1965	1	57	1	57	1	2	1	1	1	1	1	NA	96	NA	96	NA	96	1	1	1	1	NA	96	NA	96	NA	96	NA	96	NA	96	NA	96	NA	96	0	0	0	0	0	0	0
