RB010	RB020	RB030	RB050	RB050_F	RB080	RB080_F	RB081	RB081_F	RB082	RB082_F	RB090	RB090_F	RB200	RB200_F	RB211	RB211_F	RB220	RB220_F	RB230	RB230_F	RB240	RB240_F	RB280	RB280_F	RB290	RB290_F	RL010	RL010_F	RL020	RL020_F	RL030	RL030_F	RL040	RL040_F	RL050	RL050_F	RL060	RL060_F	RL070	RL070_F	VRLOWJOB	VREU2020	VRMATSOCDEP	VRLOWJOB_N	VREU2020_N	RCH010	RCH010_F	RCH020	RCH020_F	RK050	RK050_F	RK060	RK060_F	RK070	RK070_F	RK080	RK080_F	AROPE	AROPE_N
2021	ES	1566601	25456869	1	1948	1	72	1	73	1	1	1	1	1	3	1	 	96	 	96	 	96	1	1	1	1	 	96	 	96	 	96	 	96	 	96	 	96		96	9	1	1	9	1	 	96	 	96	 	96	 	96	 	96	 	96	1	1
2021	ES	1566801	23377399	1	1968	1	52	1	53	1	1	1	1	1	1	1	 	96	 	96	1566804	1	3	1	1	1	 	96	 	96	 	96	 	96	 	96	 	96		96	0	1	0	0	1	 	96	 	96	 	96	 	96	 	96	 	96	1	1
2021	ES	1566802	23377399	1	2003	1	17	1	18	1	1	1	1	1	1	1	 	96	1566804	1	 	96	1	1	1	1	 	96	 	96	 	96	 	96	 	96	 	96		96	0	1	0	0	1	 	96	 	96	 	96	 	96	 	96	 	96	1	1
2021	ES	1566803	23377399	1	2006	1	14	1	14	1	1	1	1	1	5	1	 	96	1566804	1	 	96	1	1	1	1	 	96	 	96	 	96	 	96	 	96	 	96		96	0	1	0	0	1	2	1	3	1	1	1	1	1	30	1	3	1	1	1
2021	ES	1566804	23377399	1	1983	1	37	1	38	1	2	1	1	1	1	1	 	96	 	96	1566801	1	3	1	1	1	 	96	 	96	 	96	 	96	 	96	 	96		96	0	1	0	0	1	 	96	 	96	 	96	 	96	 	96	 	96	1	1
2021	ES	1566901	22277449	1	1997	1	23	1	24	1	2	1	1	1	5	1	 	96	1566902	1	 	96	1	1	1	1	 	96	 	96	 	96	 	96	 	96	 	96		96	0	0	0	0	0	 	96	 	96	 	96	 	96	 	96	 	96	0	0
2021	ES	1566902	22277449	1	1965	1	55	1	56	1	2	1	1	1	1	1	 	96	 	96	1566903	1	1	1	1	1	 	96	 	96	 	96	 	96	 	96	 	96		96	0	0	0	0	0	 	96	 	96	 	96	 	96	 	96	 	96	0	0
2021	ES	1566903	22277449	1	1963	1	57	1	58	1	1	1	1	1	2	1	 	96	 	96	1566902	1	3	1	1	1	 	96	 	96	 	96	 	96	 	96	 	96		96	0	0	0	9	0	 	96	 	96	 	96	 	96	 	96	 	96	0	0
2021	ES	1567101	26132296	1	1940	1	80	1	81	1	2	1	1	1	3	1	 	96	 	96	 	96	1	1	1	1	 	96	 	96	 	96	 	96	 	96	 	96		96	9	0	0	9	0	 	96	 	96	 	96	 	96	 	96	 	96	0	0
2021	ES	1567102	26132296	1	1970	1	50	1	51	1	1	1	1	1	1	1	 	96	1567101	1	 	96	1	1	1	1	 	96	 	96	 	96	 	96	 	96	 	96		96	0	0	0	0	0	 	96	 	96	 	96	 	96	 	96	 	96	0	0
