Total Nacional;Comunidades y Ciudades Autónomas;Provincias;Islas;Tipo de dato;Periodo;Total
Total Nacional;Cataluña;Barcelona;;Porcentaje de población que sale del área;17/5/2020;8,40
Total Nacional;Cataluña;Barcelona;;Porcentaje de población que sale del área;16/5/2020;11,39
Total Nacional;Cataluña;Barcelona;;Porcentaje de población que sale del área;15/5/2020;15,79
Total Nacional;Cataluña;Barcelona;;Porcentaje de población que sale del área;14/5/2020;16,57
Total Nacional;Cataluña;Barcelona;;Porcentaje de población que sale del área;13/5/2020;16,65
Total Nacional;Cataluña;Barcelona;;Porcentaje de población que sale del área;12/5/2020;16,67
Total Nacional;Cataluña;Barcelona;;Porcentaje de población que sale del área;11/5/2020;14,57
Total Nacional;Cataluña;Barcelona;;Porcentaje de población que sale del área;10/5/2020;7,74
Total Nacional;Cataluña;Barcelona;;Porcentaje de población que sale del área;9/5/2020;8,81
Total Nacional;Cataluña;Barcelona;;Porcentaje de población que sale del área;8/5/2020;15,27
Total Nacional;Cataluña;Barcelona;;Porcentaje de población que sale del área;7/5/2020;15,18
Total Nacional;Cataluña;Barcelona;;Porcentaje de población que sale del área;6/5/2020;15,15
Total Nacional;Cataluña;Barcelona;;Porcentaje de población que sale del área;5/5/2020;16,04
Total Nacional;Cataluña;Barcelona;;Porcentaje de población que sale del área;4/5/2020;14,59
Total Nacional;Cataluña;Barcelona;;Porcentaje de población que sale del área;3/5/2020;8,62
Total Nacional;Cataluña;Barcelona;;Porcentaje de población que sale del área;2/5/2020;8,98
Total Nacional;Cataluña;Barcelona;;Porcentaje de población que sale del área;1/5/2020;8,20
Total Nacional;Cataluña;Barcelona;;Porcentaje de población que sale del área;30/4/2020;13,17
Total Nacional;Cataluña;Barcelona;;Porcentaje de población que sale del área;29/4/2020;12,88
Total Nacional;Cataluña;Barcelona;;Porcentaje de población que sale del área;28/4/2020;12,78
Total Nacional;Cataluña;Barcelona;;Porcentaje de población que sale del área;27/4/2020;11,93
Total Nacional;Cataluña;Barcelona;;Porcentaje de población que sale del área;26/4/2020;6,81
Total Nacional;Cataluña;Barcelona;;Porcentaje de población que sale del área;25/4/2020;8,62
Total Nacional;Cataluña;Barcelona;;Porcentaje de población que sale del área;24/4/2020;12,38
Total Nacional;Cataluña;Barcelona;;Porcentaje de población que sale del área;23/4/2020;12,25
Total Nacional;Cataluña;Barcelona;;Porcentaje de población que sale del área;22/4/2020;12,72
Total Nacional;Cataluña;Barcelona;;Porcentaje de población que sale del área;21/4/2020;12,05
Total Nacional;Cataluña;Barcelona;;Porcentaje de población que sale del área;20/4/2020;11,56
Total Nacional;Cataluña;Barcelona;;Porcentaje de población que sale del área;19/4/2020;6,42
Total Nacional;Cataluña;Barcelona;;Porcentaje de población que sale del área;18/4/2020;8,54
Total Nacional;Cataluña;Barcelona;;Porcentaje de población que sale del área;17/4/2020;12,07
Total Nacional;Cataluña;Barcelona;;Porcentaje de población que sale del área;16/4/2020;12,87
Total Nacional;Cataluña;Barcelona;;Porcentaje de población que sale del área;15/4/2020;12,18
Total Nacional;Cataluña;Barcelona;;Porcentaje de población que sale del área;14/4/2020;11,23
Total Nacional;Cataluña;Barcelona;;Porcentaje de población que sale del área;13/4/2020;6,81
Total Nacional;Cataluña;Barcelona;;Porcentaje de población que sale del área;12/4/2020;6,62
Total Nacional;Cataluña;Barcelona;;Porcentaje de población que sale del área;11/4/2020;7,83
Total Nacional;Cataluña;Barcelona;;Porcentaje de población que sale del área;10/4/2020;7,36
Total Nacional;Cataluña;Barcelona;;Porcentaje de población que sale del área;9/4/2020;10,16
Total Nacional;Cataluña;Barcelona;;Porcentaje de población que sale del área;8/4/2020;10,37
Total Nacional;Cataluña;Barcelona;;Porcentaje de población que sale del área;7/4/2020;10,46
Total Nacional;Cataluña;Barcelona;;Porcentaje de población que sale del área;6/4/2020;9,76
Total Nacional;Cataluña;Barcelona;;Porcentaje de población que sale del área;5/4/2020;6,56
Total Nacional;Cataluña;Barcelona;;Porcentaje de población que sale del área;4/4/2020;8,08
Total Nacional;Cataluña;Barcelona;;Porcentaje de población que sale del área;3/4/2020;10,69
Total Nacional;Cataluña;Barcelona;;Porcentaje de población que sale del área;2/4/2020;9,89
Total Nacional;Cataluña;Barcelona;;Porcentaje de población que sale del área;1/4/2020;9,77
Total Nacional;Cataluña;Barcelona;;Porcentaje de población que sale del área;31/3/2020;10,18
Total Nacional;Cataluña;Barcelona;;Porcentaje de población que sale del área;30/3/2020;10,28
Total Nacional;Cataluña;Barcelona;;Porcentaje de población que sale del área;28/3/2020;8,83
Total Nacional;Cataluña;Barcelona;;Porcentaje de población que sale del área;26/3/2020;12,35
Total Nacional;Cataluña;Barcelona;;Porcentaje de población que sale del área;24/3/2020;12,53
Total Nacional;Cataluña;Barcelona;;Porcentaje de población que sale del área;22/3/2020;6,59
Total Nacional;Cataluña;Barcelona;;Porcentaje de población que sale del área;20/3/2020;12,70
Total Nacional;Cataluña;Barcelona;;Porcentaje de población que sale del área;18/3/2020;13,44
Total Nacional;Cataluña;Barcelona;;Porcentaje de población que sale del área;16/3/2020;14,64
Total Nacional;Cataluña;Barcelona;;Porcentaje de población que sale del área;18/11/2019;34,90
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;29/12/2021;12,36
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;26/12/2021;8,69
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;22/12/2021;13,87
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;19/12/2021;10,70
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;15/12/2021;15,02
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;12/12/2021;10,78
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;8/12/2021;12,12
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;1/12/2021;15,74
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;28/11/2021;11,30
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;24/11/2021;15,14
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;21/11/2021;11,97
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;17/11/2021;15,55
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;14/11/2021;12,03
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;10/11/2021;14,48
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;7/11/2021;11,71
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;3/11/2021;11,17
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;31/10/2021;13,19
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;27/10/2021;15,05
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;24/10/2021;12,63
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;20/10/2021;14,82
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;17/10/2021;12,41
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;13/10/2021;15,02
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;10/10/2021;13,38
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;6/10/2021;15,42
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;3/10/2021;10,15
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;29/9/2021;15,56
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;26/9/2021;13,63
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;22/9/2021;15,40
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;19/9/2021;13,03
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;15/9/2021;15,63
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;12/9/2021;13,04
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;8/9/2021;15,12
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;5/9/2021;13,49
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;1/9/2021;14,83
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;29/8/2021;13,99
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;25/8/2021;15,28
Total Nacional;Cataluña;Girona;;Porcentaje de población que sale del área;22/8/2021;13,65
